GEOLINEID,Legend_Description,GSC_SYMBOL
101001019999,contact; depositional; defined,4.01.01.001
101001029999,contact; depositional; approximate,4.01.01.002
101001039999,contact; depositional; inferred,4.01.01.003
101001049999,contact; depositional; concealed,4.01.01.004
101002019999,contact; depositional-conformable; defined,4.01.01.001
101002029999,contact; depositional-conformable; approximate,4.01.01.002
101002039999,contact; depositional-conformable; inferred,4.01.01.003
101002049999,contact; depositional-conformable; concealed,4.01.01.004
101003019999,contact; depositional-escarpment; defined,4.01.01.001
101003029999,contact; depositional-escarpment; approximate,4.01.01.002
101003039999,contact; depositional-escarpment; inferred,4.01.01.003
101003049999,contact; depositional-escarpment; concealed,4.01.01.004
101004019999,contact; depositional-unconformable; defined,4.01.01.001
101004029999,contact; depositional-unconformable; approximate,4.01.01.002
101004039999,contact; depositional-unconformable; inferred,4.01.01.003
101004049999,contact; depositional-unconformable; concealed,4.01.01.004
101005019999,contact; intrusive; defined,4.01.01.001
101005029999,contact; intrusive; approximate,4.01.01.002
101005039999,contact; intrusive; inferred,4.01.01.003
101005049999,contact; intrusive; concealed,4.01.01.004
101006019999,contact; metamorphic; defined,4.01.01.001
101006029999,contact; metamorphic; approximate,4.01.01.002
101006039999,contact; metamorphic; inferred,4.01.01.003
101006049999,contact; metamorphic; concealed,4.01.01.004
101007019999,contact; sheared; defined,4.01.01.001
101007029999,contact; sheared; approximate,4.01.01.002
101007039999,contact; sheared; inferred,4.01.01.003
101007049999,contact; sheared; concealed,4.01.01.004
101008019999,contact; faulted; defined,4.01.01.001
101008029999,contact; faulted; approximate,4.01.01.002
101008039999,contact; faulted; inferred,4.01.01.003
101008049999,contact; faulted; concealed,4.01.01.004
101010019999,contact; facies change; defined,4.01.01.001
101010029999,contact; facies change; approximate,4.01.01.002
101010039999,contact; facies change; inferred,4.01.01.003
101010049999,contact; facies change; concealed,4.01.01.004
101011019999,contact; drift contact; defined,4.01.01.001
101011029999,contact; drift contact; approximate,4.01.01.002
101011039999,contact; drift contact; inferred,4.01.01.003
101011049999,contact; drift contact; concealed,4.01.01.004
101012019999,contact; undefined; defined,4.01.01.001
101012029999,contact; undefined; approximate,4.01.01.002
101012039999,contact; undefined; inferred,4.01.01.003
101012049999,contact; undefined; concealed,4.01.01.004
112001010101,fault; normal; defined; attitude upright; first generation,4.02.01.001
112001010102,fault; normal; defined; attitude upright; second generation,4.02.01.001
112001010103,fault; normal; defined; attitude upright; third generation,4.02.01.001
112001010104,fault; normal; defined; attitude upright; fourth generation,4.02.01.001
112001010110,fault; normal; defined; attitude upright; primary generation,4.02.01.001
112001010120,fault; normal; defined; attitude upright; multi-generation generation,4.02.01.001
112001010166,fault; normal; defined; attitude upright; not entered generation,4.02.01.001
112001010188,fault; normal; defined; attitude upright; undefined generation,4.02.01.001
112001010201,fault; normal; defined; attitude overturned; first generation,4.02.01.001
112001010202,fault; normal; defined; attitude overturned; second generation,4.02.01.001
112001010203,fault; normal; defined; attitude overturned; third generation,4.02.01.001
112001010204,fault; normal; defined; attitude overturned; fourth generation,4.02.01.001
112001010210,fault; normal; defined; attitude overturned; primary generation,4.02.01.001
112001010220,fault; normal; defined; attitude overturned; multi-generation generation,4.02.01.001
112001010266,fault; normal; defined; attitude overturned; not entered generation,4.02.01.001
112001010288,fault; normal; defined; attitude overturned; undefined generation,4.02.01.001
112001010301,"fault; normal; defined; attitude upright, assumed from archival data; first generation",4.02.01.001
112001010302,"fault; normal; defined; attitude upright, assumed from archival data; second generation",4.02.01.001
112001010303,"fault; normal; defined; attitude upright, assumed from archival data; third generation",4.02.01.001
112001010304,"fault; normal; defined; attitude upright, assumed from archival data; fourth generation",4.02.01.001
112001010310,"fault; normal; defined; attitude upright, assumed from archival data; primary generation",4.02.01.001
112001010320,"fault; normal; defined; attitude upright, assumed from archival data; multi-generation generation",4.02.01.001
112001010366,"fault; normal; defined; attitude upright, assumed from archival data; not entered generation",4.02.01.001
112001010388,"fault; normal; defined; attitude upright, assumed from archival data; undefined generation",4.02.01.001
112001016601,fault; normal; defined; attitude not entered; first generation,4.02.01.001
112001016602,fault; normal; defined; attitude not entered; second generation,4.02.01.001
112001016603,fault; normal; defined; attitude not entered; third generation,4.02.01.001
112001016604,fault; normal; defined; attitude not entered; fourth generation,4.02.01.001
112001016610,fault; normal; defined; attitude not entered; primary generation,4.02.01.001
112001016620,fault; normal; defined; attitude not entered; multi-generation generation,4.02.01.001
112001016666,fault; normal; defined; attitude not entered; not entered generation,4.02.01.001
112001016688,fault; normal; defined; attitude not entered; undefined generation,4.02.01.001
