GEOPOINTID,Legend_Description,GSC_SYMBOL
1100101100101,"planar; bedding; inclined, upright; primary; known, sedimentary structure; measured at station",4.14.01.001
1100101100102,"planar; bedding; inclined, upright; primary; known, sedimentary structure; estimated at station",4.14.01.003
1100101100103,"planar; bedding; inclined, upright; primary; known, sedimentary structure; estimated remotely",4.14.01.003
1100101100104,"planar; bedding; inclined, upright; primary; known, sedimentary structure; calculated from data",4.14.01.003
1100101100105,"planar; bedding; inclined, upright; primary; known, sedimentary structure; calculated from imagery",4.14.01.003
1100101100106,"planar; bedding; inclined, upright; primary; known, sedimentary structure; acquired from historical data",4.14.01.001
1100101100166,"planar; bedding; inclined, upright; primary; known, sedimentary structure; not entered",4.14.01.003
1100101100201,"planar; bedding; inclined, upright; primary; known, igneous structure; measured at station",4.14.01.001
1100101100202,"planar; bedding; inclined, upright; primary; known, igneous structure; estimated at station",4.14.01.003
1100101100203,"planar; bedding; inclined, upright; primary; known, igneous structure; estimated remotely",4.14.01.003
1100101100204,"planar; bedding; inclined, upright; primary; known, igneous structure; calculated from data",4.14.01.003
1100101100205,"planar; bedding; inclined, upright; primary; known, igneous structure; calculated from imagery",4.14.01.003
1100101100206,"planar; bedding; inclined, upright; primary; known, igneous structure; acquired from historical data",4.14.01.001
1100101100266,"planar; bedding; inclined, upright; primary; known, igneous structure; not entered",4.14.01.003
1100101100301,"planar; bedding; inclined, upright; primary; known, stratigraphic order; measured at station",4.14.01.001
1100101100302,"planar; bedding; inclined, upright; primary; known, stratigraphic order; estimated at station",4.14.01.003
1100101100303,"planar; bedding; inclined, upright; primary; known, stratigraphic order; estimated remotely",4.14.01.003
1100101100304,"planar; bedding; inclined, upright; primary; known, stratigraphic order; calculated from data",4.14.01.003
1100101100305,"planar; bedding; inclined, upright; primary; known, stratigraphic order; calculated from imagery",4.14.01.003
1100101100306,"planar; bedding; inclined, upright; primary; known, stratigraphic order; acquired from historical data",4.14.01.001
1100101100366,"planar; bedding; inclined, upright; primary; known, stratigraphic order; not entered",4.14.01.003
1100101100401,"planar; bedding; inclined, upright; primary; inferred, stratigraphic order; measured at station",4.14.01.001
1100101100402,"planar; bedding; inclined, upright; primary; inferred, stratigraphic order; estimated at station",4.14.01.003
1100101100403,"planar; bedding; inclined, upright; primary; inferred, stratigraphic order; estimated remotely",4.14.01.003
1100101100404,"planar; bedding; inclined, upright; primary; inferred, stratigraphic order; calculated from data",4.14.01.003
1100101100405,"planar; bedding; inclined, upright; primary; inferred, stratigraphic order; calculated from imagery",4.14.01.003
1100101100406,"planar; bedding; inclined, upright; primary; inferred, stratigraphic order; acquired from historical data",4.14.01.001
1100101100466,"planar; bedding; inclined, upright; primary; inferred, stratigraphic order; not entered",4.14.01.003
1100101100501,"planar; bedding; inclined, upright; primary; inferred, bedding-cleavage; measured at station",4.14.01.001
1100101100502,"planar; bedding; inclined, upright; primary; inferred, bedding-cleavage; estimated at station",4.14.01.003
1100101100503,"planar; bedding; inclined, upright; primary; inferred, bedding-cleavage; estimated remotely",4.14.01.003
1100101100504,"planar; bedding; inclined, upright; primary; inferred, bedding-cleavage; calculated from data",4.14.01.003
1100101100505,"planar; bedding; inclined, upright; primary; inferred, bedding-cleavage; calculated from imagery",4.14.01.003
1100101100506,"planar; bedding; inclined, upright; primary; inferred, bedding-cleavage; acquired from historical data",4.14.01.001
1100101100566,"planar; bedding; inclined, upright; primary; inferred, bedding-cleavage; not entered",4.14.01.003
1100101106601,"planar; bedding; inclined, upright; primary; not entered; measured at station",4.14.01.001
1100101106602,"planar; bedding; inclined, upright; primary; not entered; estimated at station",4.14.01.003
1100101106603,"planar; bedding; inclined, upright; primary; not entered; estimated remotely",4.14.01.003
1100101106604,"planar; bedding; inclined, upright; primary; not entered; calculated from data",4.14.01.003
1100101106605,"planar; bedding; inclined, upright; primary; not entered; calculated from imagery",4.14.01.003
1100101106606,"planar; bedding; inclined, upright; primary; not entered; acquired from historical data",4.14.01.001
1100101106666,"planar; bedding; inclined, upright; primary; not entered; not entered",4.14.01.003
1100101660101,"planar; bedding; inclined, upright; not entered; known, sedimentary structure; measured at station",4.14.01.001
1100101660102,"planar; bedding; inclined, upright; not entered; known, sedimentary structure; estimated at station",4.14.01.003
1100101660103,"planar; bedding; inclined, upright; not entered; known, sedimentary structure; estimated remotely",4.14.01.003
1100101660104,"planar; bedding; inclined, upright; not entered; known, sedimentary structure; calculated from data",4.14.01.003
1100101660105,"planar; bedding; inclined, upright; not entered; known, sedimentary structure; calculated from imagery",4.14.01.003
1100101660106,"planar; bedding; inclined, upright; not entered; known, sedimentary structure; acquired from historical data",4.14.01.001
1100101660166,"planar; bedding; inclined, upright; not entered; known, sedimentary structure; not entered",4.14.01.003
1100101660201,"planar; bedding; inclined, upright; not entered; known, igneous structure; measured at station",4.14.01.001
1100101660202,"planar; bedding; inclined, upright; not entered; known, igneous structure; estimated at station",4.14.01.003
1100101660203,"planar; bedding; inclined, upright; not entered; known, igneous structure; estimated remotely",4.14.01.003
1100101660204,"planar; bedding; inclined, upright; not entered; known, igneous structure; calculated from data",4.14.01.003
1100101660205,"planar; bedding; inclined, upright; not entered; known, igneous structure; calculated from imagery",4.14.01.003
1100101660206,"planar; bedding; inclined, upright; not entered; known, igneous structure; acquired from historical data",4.14.01.001
1100101660266,"planar; bedding; inclined, upright; not entered; known, igneous structure; not entered",4.14.01.003
1100101660301,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; measured at station",4.14.01.001
1100101660302,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; estimated at station",4.14.01.003
1100101660303,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; estimated remotely",4.14.01.003
1100101660304,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; calculated from data",4.14.01.003
1100101660305,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; calculated from imagery",4.14.01.003
1100101660306,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; acquired from historical data",4.14.01.001
1100101660366,"planar; bedding; inclined, upright; not entered; known, stratigraphic order; not entered",4.14.01.003
1100101660401,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; measured at station",4.14.01.001
1100101660402,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; estimated at station",4.14.01.003
1100101660403,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; estimated remotely",4.14.01.003
1100101660404,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; calculated from data",4.14.01.003
1100101660405,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; calculated from imagery",4.14.01.003
1100101660406,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; acquired from historical data",4.14.01.001
1100101660466,"planar; bedding; inclined, upright; not entered; inferred, stratigraphic order; not entered",4.14.01.003
1100101660501,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; measured at station",4.14.01.001
1100101660502,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; estimated at station",4.14.01.003
1100101660503,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; estimated remotely",4.14.01.003
1100101660504,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; calculated from data",4.14.01.003
1100101660505,"planar; bedding; inclined, upright; not entered; inferred, bedding-cleavage; calculated from imagery",4.14.01.003
